file,odluka,razlog,zadnja_izmjena,schedule,dispatch,push
check-editorial-launch-library.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-04,False,False,False
check-enterprise-final-review.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-enterprise-review-runtime-v3.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-index-code-showcase-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,True,False
check-index-existing-fields-v2.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-06-27,False,True,False
check-live-v28.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-06-28,False,True,False
check-mail-profile-delivery-tests.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-mail-sync-center.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-media-application-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-media-applications-review.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-04,False,False,False
check-operations-suite-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,True,False
check-operations-visual-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-06-27,False,True,False
check-operator-module-routes.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-04,False,False,False
check-publication-detail-pages-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,True,False
check-publication-detail-pages-v2.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,True,False
check-responsive-review-evidence-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,True,False
check-seo-attribution-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-strategy-performance-review.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-04,False,False,False
check-worker-review-preview-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
cleanup-actions-artifacts.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-01,False,True,False
cleanup-campaign-mailer-remaining.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-03,False,False,True
contact-diagnostic.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-24,False,True,True
content-source-governance.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-19,False,True,False
dark-menu-market-recovery.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-28,False,True,False
deploy-admin-auth-v6.yml,KEEP,"aktivno koristen danas/redovito, ima cron ili je dio glavnog pipeline-a",2026-08-08,False,True,False
deploy-admin-dashboard-v3.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,False,False
deploy-admin-menu-route-pr.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,False,False
deploy-bilingual-index-activation.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,False,False
deploy-black-logo-smoke-test.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-campaign-mailer-command.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-current-public-portal.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-delivery-issue91.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-07-17,False,True,False
deploy-editorial-center.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-email-logo-gateway-v1.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-final-admin-gateway.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-firefox-auth-issue93.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-07-17,False,True,False
deploy-index-code-showcase-v1.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-index-existing-fields-v2.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-index-polish-v30.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-06-28,False,True,False
deploy-index-visual-fix-v29.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-luxury-index-pr.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-05,False,True,False
deploy-mail-center-worker-v2.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-mail-media-strict-english.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-mail-profile-parity.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-mail-studio-bridge-v15.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-06-26,False,True,False
deploy-mail-studio-multilingual.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,False,False
deploy-mail-studio-v24.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-media-application-v1.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-media-command-gateway.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-media-email-import-v1.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-media-html-v22-command.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-media-html-v22.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-media-projects-v1.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-05,False,False,False
deploy-media-source-probe-pr.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-media-source-probe-v1.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-media-source-push-v2.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-memorandum-studio-v2.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-mobile-app-v2.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-news-publications-v17.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-news-v16.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-operations-suite-v1.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-portal-final-v12.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-private-admin-ui-main.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-private-admin-ui-v2.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-project50-unified-menu-v16-pr.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-project50-unified-menu-v16.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-public-portal-assets-safe.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,False,False
deploy-public-shell-v15.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-06-29,False,False,True
deploy-public-visual-v13.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-runtime-r11-issue96.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-07-17,False,True,False
deploy-special-public-v13.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-unified-auth-v14.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-17,False,True,False
deploy-v21-index-preview.yml,REMOVE,verzioniran jednokratni deploy iz proslosti,2026-07-17,False,True,False
deploy-v21-issue89.yml,REMOVE,verzioniran jednokratni deploy iz proslosti,2026-07-17,False,True,False
deploy-v27-trigger.yml,REMOVE,verzioniran jednokratni deploy iz proslosti,2026-07-17,False,True,False
deploy-v30-emergency.yml,REMOVE,verzioniran jednokratni deploy iz proslosti,2026-07-17,False,True,False
deploy-v31-head-fix.yml,REMOVE,verzioniran jednokratni deploy iz proslosti,2026-07-17,False,True,False
deploy-worker-review-preview-v1.yml,REVIEW,jednokratan deploy specificne znacajke - provjeriti je li znacajka trajno zivjela ili je odbacena,2026-07-05,False,True,False
devto-mirror-contract.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-02,False,False,False
devto-mirror-publish.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-04,True,True,False
diag-direct-inbound-patch-20260722.yml,REMOVE,ima konkretan datum u nazivu - jednokratan dogadjaj,2026-07-22,False,False,True
diag-mail-autoreply-live-20260722.yml,REMOVE,ima konkretan datum u nazivu - jednokratan dogadjaj,2026-07-22,False,False,True
diag12-oneoff.yml,REMOVE,naziv eksplicitno oznacava jednokratnu dijagnostiku,2026-07-21,False,True,False
diagnose-email-routing-now.yml,REVIEW,dijagnosticki alat - provjeriti odnosi li se na jos aktivan problem,2026-07-03,False,True,True
diagnose-final-routes.yml,REVIEW,dijagnosticki alat - provjeriti odnosi li se na jos aktivan problem,2026-06-28,False,False,True
diagnose-live-issue89.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-06-26,False,False,False
diagnose-media-projects-v1.yml,REVIEW,dijagnosticki alat - provjeriti odnosi li se na jos aktivan problem,2026-06-30,False,True,True
diagnose-media-worker-dryrun.yml,REVIEW,dijagnosticki alat - provjeriti odnosi li se na jos aktivan problem,2026-06-30,False,False,False
diagnose-production-index.yml,REVIEW,dijagnosticki alat - provjeriti odnosi li se na jos aktivan problem,2026-07-04,False,True,False
diagnose-project50-unified-menu-v16.yml,REVIEW,dijagnosticki alat - provjeriti odnosi li se na jos aktivan problem,2026-06-28,False,False,False
diagnose-public-visual-v13-production.yml,REVIEW,dijagnosticki alat - provjeriti odnosi li se na jos aktivan problem,2026-06-25,False,True,True
diagnose-special-public-routes.yml,REVIEW,dijagnosticki alat - provjeriti odnosi li se na jos aktivan problem,2026-06-25,False,True,True
digital-assets-single-writer-guard.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-07,False,False,False
digital-workforce-public-read-parity.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-08,False,True,True
direct-static-editorial-policy-v1.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-06,False,True,False
disaster-recovery-dispatch-check.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-02,False,True,False
disaster-recovery-mirror-v2.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-04,True,True,True
dohvati-b01.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-01,False,False,False
dohvati-b02.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-01,False,False,False
dohvati-b03.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-01,False,False,False
dohvati-b04.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-01,False,False,False
dohvati-b05.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-01,False,False,False
dohvati-b06.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-01,False,False,False
dohvati-b07.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-01,False,False,False
dohvati-b08.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
dohvati-b09.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
dohvati-b10.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
dohvati-b11.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
dohvati-b12.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
dohvati-b13.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
dohvati-b14.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
dohvati-b15.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
dohvati-b16.yml,REMOVE,dio numerirane serije jednokratnih batch dohvata,2026-08-02,False,False,False
editorial-center-check.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-24,False,False,False
editorial-content-ci.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-05,False,False,False
editorial-content-deploy.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-28,False,False,True
editorial-scheduled-publish.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-05,True,True,True
emergency-stop-media-outreach.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
export-campaign-continuation-readonly.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-03,False,False,True
final-v27-acceptance-issue98.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-06-26,False,False,True
fix-floating-home-page-routes-v16.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-25,False,True,True
fix-operator-dashboard-route-v7.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-25,False,True,True
force-deploy-fresh-media-center.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
gallery-sync.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-26,False,True,True
generate-digital-workforce-newsroom-pages.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-04,True,True,True
gnk-news-refresh-v2.yml,REBASE,duplicira gnk-news-refresh.yml,2026-08-08,True,True,True
gnk-news-refresh.yml,KEEP,"aktivno koristen danas/redovito, ima cron ili je dio glavnog pipeline-a",2026-08-04,True,True,False
gnk-news-v14-refresh.yml,REBASE,"duplicira gnk-news-refresh.yml (noviji, ali paralelan naziv)",2026-08-04,True,True,False
gnk-seo-nightly-audit.yml,KEEP,"aktivno koristen danas/redovito, ima cron ili je dio glavnog pipeline-a",2026-08-08,True,True,False
homepage-browser-audit.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-26,False,False,False
inspect-live-status-verification-20260722.yml,REMOVE,jednokratna inspekcija,2026-07-22,False,False,True
inspect-public-route-owners.yml,REMOVE,jednokratna inspekcija,2026-06-25,False,True,True
integration-portal-v12.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-28,False,True,False
internal-media-email-test.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
issue-news-v16-validation.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
key-routes-quality-gate.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-06,False,True,False
linkedin-daily-rotation.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-23,True,True,False
live-index-redesign-preview.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
macro-market-refresh.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-04,True,True,False
mail-session-repair.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
market-browser-issue96.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-06-26,False,False,False
market-pulse-refresh.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-04,True,True,False
media-command-center-verify.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-30,False,True,False
media-command-from-chat.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-29,False,True,True
media-readiness-audit.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-29,False,False,True
mirror-sync-masarykova.yml,KEEP,"aktivno koristen danas/redovito, ima cron ili je dio glavnog pipeline-a",2026-08-08,True,True,False
news-image-integrity-readonly-probe.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-26,False,False,False
news-live-status.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-23,False,False,True
news-public-readonly-probe.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-26,False,False,False
news-publications-hotfix-live.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
news-refresh.yml,REBASE,moguc duplikat gnk-news-refresh.yml - provjeriti razliku,2026-08-08,True,True,False
news-v13-lifecycle.yml,REBASE,stariji broj verzije od news-v16 - kandidat za spajanje,2026-08-04,True,True,True
news-v16-heartbeat.yml,REBASE,moguc duplikat s gnk-news-v14-refresh.yml,2026-06-26,False,False,True
no-en-en-canonical-contract.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-02,False,True,False
objavi-15-dnevno.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-31,False,True,False
objavi-devto-sada.yml,KEEP,"aktivno koristen danas/redovito, ima cron ili je dio glavnog pipeline-a",2026-08-07,False,True,False
objavi-tumblr-sada.yml,KEEP,"aktivno koristen danas/redovito, ima cron ili je dio glavnog pipeline-a",2026-08-01,False,True,False
obnovi-devto-evidenciju.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-02,False,False,False
one-time-approved-deploy-14868bc.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-approved-deploy-77de.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-approved-deploy-cc7c-20260715.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-approved-deploy-cd053a-20260715.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-autoreply-ai-v1.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-diagnose-validate-release-v1.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-direct-urgent-release-v37.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-17,False,True,False
one-time-final-urgent-package-v1.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-fix-editorial-route-ownership-v35.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-fix-news-cache-and-contact-readiness-v1.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-fix-todays-news-order-v1.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-full-validate-and-deploy-v2.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-public-content-repair-v1.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-revalidate-urgent-package-v3.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-verify-final-urgent-v1.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
one-time-verify-production-v4.yml,REMOVE,naziv eksplicitno oznacava jednokratnu namjenu,2026-07-15,False,False,True
p0-rss-audit.yml,REMOVE,"jednokratan audit alat (P0-P2), svrha ispunjena, izvjestaj vec spremljen",2026-08-08,False,True,False
p0-test-image-validator.yml,REMOVE,"jednokratan audit alat (P0-P2), svrha ispunjena, izvjestaj vec spremljen",2026-08-08,False,True,False
p1-dw-audit.yml,REMOVE,"jednokratan audit alat (P0-P2), svrha ispunjena, izvjestaj vec spremljen",2026-08-08,False,True,False
p2-lighthouse.yml,REMOVE,"jednokratan audit alat (P0-P2), svrha ispunjena, izvjestaj vec spremljen",2026-08-08,False,True,False
probe-mail-health-now.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-27,False,True,True
production-live-sync.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
provjera-aplikacije.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-29,False,True,False
provjera-tvrdnji.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-01,False,False,False
provjera-workera.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-28,True,True,False
provjeri-profil-stranicu.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-02,False,False,False
public-editorial-assets-ci.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-14,False,False,False
public-market-contract.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-19,False,True,False
public-portal-audit.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-26,False,True,True
publication-sitemap-registry-gate.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-06,False,True,False
publish-first-validated-qa-v3.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
read-latest-deploy-status-cd053a.yml,REMOVE,jednokratna provjera statusa,2026-07-15,False,False,True
record-news-deploy-501ddc-status.yml,REMOVE,jednokratno biljezenje statusa proslog dogadjaja,2026-07-15,False,False,True
record-one-time-deploy-14868bc-status.yml,REMOVE,jednokratno biljezenje statusa proslog dogadjaja,2026-07-15,False,False,True
record-one-time-deploy-77de-status.yml,REMOVE,jednokratno biljezenje statusa proslog dogadjaja,2026-07-15,False,False,True
record-one-time-deploy-cd053a-status-v2.yml,REMOVE,jednokratno biljezenje statusa proslog dogadjaja,2026-07-15,False,False,True
record-one-time-deploy-cd053a-status.yml,REMOVE,jednokratno biljezenje statusa proslog dogadjaja,2026-07-15,False,False,True
refresh-gnkc-index.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-04,True,True,False
refresh-index-live-data.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-08,True,True,False
regeneriraj-image-sitemap.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-03,False,False,False
regeneriraj-sitemapove.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-03,False,False,False
repair-office-inbound-email.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-03,False,True,True
report-current-public-portal.yml,REMOVE,jednokratno izvjestavanje o proslom stanju,2026-06-28,False,False,False
report-iq200-deploy.yml,REMOVE,jednokratno izvjestavanje o proslom stanju,2026-06-26,False,False,False
report-unified-auth-v14.yml,REMOVE,jednokratno izvjestavanje o proslom stanju,2026-06-26,False,False,False
